stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant
latent,latent_ch0,0,-0.278609,1.1139,-0.250121,0.803178,0.886265,False
latent,latent_ch1,1,-0.702987,1.10365,-0.636965,0.526087,0.701449,False
latent,latent_ch2,2,-3.60518,0.85676,-4.20792,7.06776e-05,0.00150779,True
latent,latent_ch3,3,0.589843,0.776355,0.759759,0.44978,0.654226,False
latent,latent_ch4,4,2.33634,0.763532,3.05992,0.00307052,0.0254881,True
latent,latent_ch5,5,-0.324771,1.12495,-0.288698,0.773609,0.868614,False
latent,latent_ch6,6,-0.312434,0.713763,-0.437728,0.662842,0.792932,False
latent,latent_ch7,7,-0.59206,0.921827,-0.642268,0.522658,0.701449,False
latent,latent_ch8,8,-1.09206,1.00228,-1.08958,0.279388,0.458482,False
latent,latent_ch9,9,-1.12112,0.975204,-1.14963,0.253951,0.433409,False
latent,latent_ch10,10,3.62102,1.42088,2.54843,0.012866,0.0499043,True
latent,latent_ch11,11,0.040059,1.07061,0.0374168,0.970252,0.970252,False
latent,latent_ch12,12,-2.36553,0.888326,-2.66291,0.00947556,0.044083,True
latent,latent_ch13,13,-4.32825,1.26691,-3.41639,0.00102781,0.0109633,True
latent,latent_ch14,14,-1.30768,0.7908,-1.65362,0.102385,0.24727,False
latent,latent_ch15,15,-0.741938,0.711252,-1.04314,0.300233,0.47795,False
latent,latent_ch16,16,2.53201,1.04503,2.4229,0.0178103,0.0616142,False
latent,latent_ch17,17,-0.566958,0.816429,-0.694436,0.489554,0.696255,False
latent,latent_ch18,18,2.34181,0.835466,2.803,0.00644059,0.034518,True
latent,latent_ch19,19,0.196806,0.820285,0.239925,0.811043,0.886971,False
latent,latent_ch20,20,2.15606,0.707498,3.04744,0.00318602,0.0254881,True
latent,latent_ch21,21,0.334828,1.07766,0.310698,0.756892,0.86502,False
latent,latent_ch22,22,0.265658,0.63548,0.418043,0.67711,0.802501,False
latent,latent_ch23,23,-3.64165,1.24399,-2.9274,0.00452281,0.0304695,True
latent,latent_ch24,24,-1.91873,0.979156,-1.95958,0.0537609,0.156395,False
latent,latent_ch25,25,-0.980587,0.844663,-1.16092,0.249356,0.431318,False
latent,latent_ch26,26,1.47908,0.831561,1.77868,0.0793439,0.211584,False
latent,latent_ch27,27,3.4188,0.876533,3.90037,0.000207634,0.00332215,True
latent,latent_ch28,28,-2.23085,0.879552,-2.53635,0.0132812,0.0499998,True
latent,latent_ch29,29,-1.98551,0.938761,-2.11503,0.0377492,0.115045,False
latent,latent_ch30,30,-1.72523,0.657398,-2.62434,0.0105144,0.0464086,True
latent,latent_ch31,31,0.530754,0.825982,0.642573,0.522461,0.701449,False
latent,latent_ch32,32,2.38771,0.955333,2.49935,0.0146291,0.0520147,False
latent,latent_ch33,33,-0.57928,1.11991,-0.517255,0.6065,0.768634,False
latent,latent_ch34,34,-0.196177,0.847985,-0.231345,0.817677,0.886971,False
latent,latent_ch35,35,1.33805,0.733996,1.82296,0.072294,0.201166,False
latent,latent_ch36,36,-0.0747288,0.852386,-0.0876702,0.930372,0.952701,False
latent,latent_ch37,37,-1.52627,0.988803,-1.54356,0.126905,0.270731,False
latent,latent_ch38,38,0.995675,0.76909,1.29461,0.199425,0.392714,False
latent,latent_ch39,39,0.175038,1.16785,0.149881,0.881261,0.919147,False
latent,latent_ch40,40,3.75481,0.891283,4.21282,6.94504e-05,0.00150779,True
latent,latent_ch41,41,-4.95909,1.02408,-4.84251,6.71779e-06,0.000429939,True
latent,latent_ch42,42,-0.561119,0.953187,-0.588677,0.557847,0.728616,False
latent,latent_ch43,43,0.180919,1.22774,0.14736,0.883243,0.919147,False
latent,latent_ch44,44,-1.9448,0.732107,-2.65643,0.00964316,0.044083,True
latent,latent_ch45,45,-2.96831,0.962294,-3.08462,0.00285322,0.0254881,True
latent,latent_ch46,46,-0.943836,0.979662,-0.96343,0.338428,0.5157,False
latent,latent_ch47,47,-1.29325,0.718722,-1.79938,0.0759816,0.206929,False
latent,latent_ch48,48,2.50965,0.895902,2.80126,0.00647213,0.034518,True
latent,latent_ch49,49,0.0489727,0.850743,0.0575646,0.954249,0.961762,False
latent,latent_ch50,50,0.173499,0.831241,0.208723,0.83523,0.898399,False
latent,latent_ch51,51,-1.33652,0.803445,-1.66349,0.100388,0.247108,False
latent,latent_ch52,52,-0.436262,1.11769,-0.390326,0.697402,0.813656,False
latent,latent_ch53,53,0.3083,0.794924,0.387836,0.699236,0.813656,False
latent,latent_ch54,54,-0.907554,0.911831,-0.995309,0.322786,0.497791,False
latent,latent_ch55,55,2.10021,1.09084,1.92532,0.057981,0.164924,False
latent,latent_ch56,56,1.19004,0.926928,1.28386,0.203144,0.393976,False
latent,latent_ch57,57,-0.252407,0.865705,-0.291563,0.771426,0.868614,False
latent,latent_ch58,58,-0.659477,0.757262,-0.87087,0.386604,0.58218,False
latent,latent_ch59,59,0.925817,0.771693,1.19972,0.234024,0.415781,False
latent,latent_ch60,60,-1.48475,0.750485,-1.97839,0.0515575,0.153474,False
latent,latent_ch61,61,1.46679,1.30634,1.12283,0.265093,0.440674,False
latent,latent_ch62,62,0.703772,1.0771,0.653396,0.515499,0.701449,False
latent,latent_ch63,63,-3.44368,1.3429,-2.56437,0.0123359,0.0497483,True
latent,latent_ch64,64,-0.507782,0.81938,-0.619715,0.537324,0.709046,False
latent,latent_ch65,65,1.62739,1.04277,1.56064,0.122819,0.270731,False
latent,latent_ch66,66,1.1226,0.941993,1.19173,0.237125,0.415781,False
latent,latent_ch67,67,1.43945,0.677478,2.12472,0.0369044,0.115045,False
latent,latent_ch68,68,-1.69063,1.08939,-1.55191,0.124894,0.270731,False
latent,latent_ch69,69,-1.85877,1.16608,-1.59403,0.115135,0.26795,False
latent,latent_ch70,70,-0.225155,1.18174,-0.190528,0.84941,0.906038,False
latent,latent_ch71,71,4.65972,0.950327,4.90328,5.31874e-06,0.000429939,True
latent,latent_ch72,72,-4.00826,1.04975,-3.81831,0.00027467,0.00390642,True
latent,latent_ch73,73,1.30128,0.871107,1.49382,0.139418,0.292546,False
latent,latent_ch74,74,2.21997,0.863975,2.56948,0.0121702,0.0497483,True
latent,latent_ch75,75,1.08231,1.30677,0.82823,0.410168,0.603466,False
latent,latent_ch76,76,0.598984,1.18119,0.5071,0.613573,0.769973,False
latent,latent_ch77,77,-2.0635,0.725832,-2.84294,0.0057558,0.034518,True
latent,latent_ch78,78,-1.34863,1.29672,-1.04003,0.301665,0.47795,False
latent,latent_ch79,79,0.45554,1.36522,0.333675,0.739556,0.852821,False
latent,latent_ch80,80,-4.28452,0.916279,-4.676,1.26508e-05,0.00053977,True
latent,latent_ch81,81,-2.35485,0.643083,-3.66181,0.000463904,0.00593797,True
latent,latent_ch82,82,-0.990505,0.880472,-1.12497,0.264189,0.440674,False
latent,latent_ch83,83,3.20209,0.957793,3.34319,0.00129463,0.0127471,True
latent,latent_ch84,84,-1.66508,0.964129,-1.72703,0.0882797,0.229394,False
latent,latent_ch85,85,-2.47472,0.987406,-2.50628,0.0143674,0.0520147,False
latent,latent_ch86,86,0.045891,0.795482,0.0576895,0.954149,0.961762,False
latent,latent_ch87,87,-2.75375,1.07515,-2.56128,0.0124371,0.0497483,True
latent,latent_ch88,88,1.48719,1.16774,1.27356,0.206752,0.39499,False
latent,latent_ch89,89,-1.29659,0.959445,-1.3514,0.180631,0.366996,False
latent,latent_ch90,90,1.80363,1.1155,1.61688,0.110103,0.260986,False
latent,latent_ch91,91,1.91801,0.691436,2.77394,0.00698491,0.0357627,True
latent,latent_ch92,92,2.62159,0.887621,2.9535,0.00419425,0.0298258,True
latent,latent_ch93,93,-1.41772,1.12994,-1.25468,0.213489,0.398483,False
latent,latent_ch94,94,-1.42145,1.16578,-1.21932,0.226545,0.414255,False
latent,latent_ch95,95,2.92921,0.731591,4.00389,0.000145194,0.00265498,True
latent,latent_ch96,96,2.03384,0.762419,2.66762,0.00935533,0.044083,True
latent,latent_ch97,97,3.40156,1.12837,3.01457,0.00350989,0.0264274,True
latent,latent_ch98,98,-0.944562,0.942788,-1.00188,0.319622,0.497791,False
latent,latent_ch99,99,-2.0632,1.19972,-1.71972,0.089607,0.229394,False
latent,latent_ch100,100,1.30806,1.09242,1.1974,0.234923,0.415781,False
latent,latent_ch101,101,-0.650594,0.876984,-0.741854,0.460493,0.662282,False
latent,latent_ch102,102,-0.730744,1.13239,-0.645311,0.520695,0.701449,False
latent,latent_ch103,103,0.981391,0.945163,1.03833,0.302452,0.47795,False
latent,latent_ch104,104,2.16785,1.01966,2.12605,0.03679,0.115045,False
latent,latent_ch105,105,0.366488,0.762244,0.480801,0.632057,0.778903,False
latent,latent_ch106,106,1.1359,0.907966,1.25104,0.214807,0.398483,False
latent,latent_ch107,107,-2.6688,0.918719,-2.90491,0.00482475,0.0308784,True
latent,latent_ch108,108,-0.466739,0.998152,-0.467603,0.641424,0.778903,False
latent,latent_ch109,109,0.277778,1.04326,0.26626,0.79077,0.880161,False
latent,latent_ch110,110,0.602319,0.88219,0.682754,0.496866,0.698888,False
latent,latent_ch111,111,-0.520757,0.94418,-0.551544,0.5829,0.746113,False
latent,latent_ch112,112,1.99383,0.861234,2.31508,0.0233461,0.0786395,False
latent,latent_ch113,113,-0.142259,1.25483,-0.113369,0.910041,0.939397,False
latent,latent_ch114,114,-1.3708,0.868074,-1.57913,0.118515,0.270731,False
latent,latent_ch115,115,-1.1473,0.735762,-1.55934,0.123126,0.270731,False
latent,latent_ch116,116,2.38251,1.12399,2.11968,0.0373416,0.115045,False
latent,latent_ch117,117,-0.107763,0.680734,-0.158304,0.874643,0.919147,False
latent,latent_ch118,118,-3.91213,1.13648,-3.44232,0.000946458,0.0109633,True
latent,latent_ch119,119,-0.598613,1.29417,-0.462546,0.645029,0.778903,False
latent,latent_ch120,120,1.67251,1.25974,1.32766,0.188316,0.376633,False
latent,latent_ch121,121,-0.625446,0.742159,-0.842738,0.402054,0.598407,False
latent,latent_ch122,122,-1.53231,0.917023,-1.67096,0.0988976,0.247108,False
latent,latent_ch123,123,1.20205,0.809394,1.48512,0.141702,0.292546,False
latent,latent_ch124,124,0.449362,0.793017,0.566649,0.572644,0.740389,False
latent,latent_ch125,125,-0.395072,0.853079,-0.463113,0.644624,0.778903,False
latent,latent_ch126,126,-3.36465,0.769023,-4.37523,3.86192e-05,0.00123581,True
latent,latent_ch127,127,2.93813,1.03787,2.83093,0.00595426,0.034518,True
